Comment,Designator,Footprint,LCSC
 TCA9548APWR,U2,TSSOP-24_W4.40mm,C130026
100K,R8,R_0805_2012Metric,C149504
AO3401A,"Q11,Q13,Q16,Q2,Q3,Q5,Q7,Q9",SOT-23-3,C15127
10uF,"C1,C2,C5",C_0805_2012Metric,C15850
10K,"R15,R4,R5,R6,R7",R_0805_2012Metric,C17414
AO3406,"Q1,Q10,Q12,Q14,Q15,Q4,Q6,Q8",SOT-23-3,C20917
RED,"D1,D2",D_0603_1608Metric,C2286
PCF8574T,"U1,U3",SOIC127P1032X265-16N,C2987288
RJ45,"J1,J10,J2,J3,J4,J5,J6,J7,J9",RJ45_Amphenol_54602-x08_Horizontal,C3000197
8P8C_LED,J8,RJ45_Amphenol_RJHSE538X,C386757
20k,"R1,R10,R11,R12,R13,R14,R2,R3,R9",R_0805_2012Metric,C4328
0.1uF,"C3,C4,C6",C_0805_2012Metric,C49678
