Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0805_2012Metric,151.384,-127.248,0.0,top
C2,0.1uF,C_0805_2012Metric,185.42,-126.746,90.0,top
C3,0.1uF,C_0805_2012Metric,188.976,-126.746,90.0,top
C4,0.1uF,C_0805_2012Metric,150.379,-107.6,90.0,top
C5,10uF,C_0805_2012Metric,153.7181,-107.6,90.0,top
C6,10uF,C_0805_2012Metric,157.1286,-107.6,90.0,top
C7,10uF,C_0805_2012Metric,160.539,-107.6,90.0,top
C8,22uF,C_0805_2012Metric,187.198,-131.064,90.0,top
C9,10uF,C_0805_2012Metric,144.78,-127.248,0.0,top
C10,0.1uF,C_0805_2012Metric,144.78,-131.35,0.0,top
C11,10uF,C_0805_2012Metric,150.379,-118.964,-90.0,top
C12,0.1uF,C_0805_2012Metric,145.421,-112.772,180.0,top
C13,22uF,C_0805_2012Metric,153.7903,-118.964,-90.0,top
C14,22uF,C_0805_2012Metric,156.983,-118.964,-90.0,top
C15,22uF,C_0805_2012Metric,160.285,-118.964,-90.0,top
D1,RED,D_0603_1608Metric,164.349,-115.982,-90.0,top
IC1,L01Z050S05,L01Z050S05,155.194,-79.756,0.0,top
J1,~,"TerminalBlock_Phoenix_PT-1,5-4-3.5-H_1x04_P3.50mm_Horizontal",159.828,-133.434,-90.0,top
J2,HeaderP2.54mm,PinHeader_1x07_P2.54mm_Vertical,169.418,-114.808,0.0,top
J3,HeaderP2.54mm,PinHeader_1x06_P2.54mm_Vertical,187.96,-116.078,0.0,top
J4,8P8C_LED_Shielded,RJ45_Amphenol_RJHSE538X,129.673,-123.192,90.0,top
J5,Screw_Terminal_01x03,"TerminalBlock_Phoenix_PT-1,5-3-5.0-H_1x03_P5.00mm_Horizontal",185.428,-98.298,-90.0,top
J6,8P8C_LED_Shielded,RJ45_Amphenol_RJHSE538X,129.673,-102.872,90.0,top
L1,1.5uH,IND_XFL4020-152MEC,158.507,-113.188,-90.0,top
R1,47,R_0805_2012Metric,178.816,-109.982,0.0,top
R2,47,R_0805_2012Metric,178.816,-114.3847,0.0,top
R3,10k,R_1206_3216Metric,145.421,-116.328,180.0,top
R4,10k,R_1206_3216Metric,145.299,-109.378,180.0,top
R5,10K,R_0805_2012Metric,164.169,-111.41,-90.0,top
R6,2.2K,R_0805_2012Metric,178.816,-118.7873,0.0,top
R7,2.2K,R_0805_2012Metric,178.816,-123.19,0.0,top
R8,47,R_0805_2012Metric,144.78,-134.874,0.0,top
R9,47,R_0805_2012Metric,151.13,-139.186,0.0,top
U2,TPS630701RNMR,VREG_TPS63070RNMR,153.1355,-113.022,0.0,top
