Comment,Designator,Footprint,LCSC
CD74HC4051M96,"U2,U4,U6",SOP-16_3.9x9.9mm_P1.27mm-Edited,C132065
10 uF,C10,C_1206_3216Metric,C13585
AO3401A,"Q1,Q11,Q13,Q16,Q3,Q5,Q7,Q9",SOT-23-3,C15127
1.5uH,L1,IND_XFL4020-152MEC,C167802
10K,"R11,R12,R14,R17,R18,R6",R_0805_2012Metric,C17414
47K,R7,R_0805_2012Metric,C17713
10k,"R1,R10,R2,R3,R4,R8,R9",R_1206_3216Metric,C17902
1 uF,C9,C_1206_3216Metric,C1848
AO3400,"Q10,Q12,Q14,Q15,Q2,Q4,Q6,Q8",SOT-23-3,C20917
RED,"D1,D2",D_0603_1608Metric,C2286
TPS630701RNMR,U8,VREG_TPS63070RNMR,C2876599
4 x 10K,RN1,R_Array_Convex_4x0603,C29718
PCF8574T,"U7,U9",SOIC127P1032X265-16N_FRED_MODIFIED,C2987288
10k,R5,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C319946
ADS1115IDGS,U5,TSSOP-10_3x3mm_P0.5mm,C37593
8P8C_LED_Shielded,J7,RJ45_Amphenol_RJHSE538X,C386757
Screw_Terminal_01x08,"J1,J2",Term_Block_1x8_P5mm,C395863
Screw_Terminal_01x04,"J3,J5",Term_Block_1x4_P5mm,C424682
20k,"R13,R15,R16,R19,R20,R21",R_0805_2012Metric,C4328
10uF,"C1,C11,C13,C15,C18,C19,C20,C22,C23,C3,C5,C6",C_0805_2012Metric,C440198
22uF,"C24,C25,C27",C_0805_2012Metric,C45783
0.1uF,"C12,C14,C16,C17,C2,C21,C26,C4,C7,C8",C_0805_2012Metric,C49678
Screw_Terminal_01x12,"J8,J9","TerminalBlock_Phoenix_PT-1,5-12-5.0-H_1x12_P5.00mm_Horizontal",C5290376
LTC4311CSC6#TRPBF,U3,SC70-SC6,C580856
BSS138,"Q17,Q18",SOT-23-3,C7420339
Conn_02x15_Top_Bottom,"J4,J6",PinHeader_2x15_P2.54mm_Vertical_Jericho,C7499350
FerriteBead,"FB1,FB2",0603,C82155
3V,BAT1,BatteryHolder_Keystone_3000_1x12mm-Edited,C964818
DS3231SN_T_R,U1,SOIC127P1032X265-16N,C9866
