Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BAT1,3V,BatteryHolder_Keystone_3000_1x12mm-Edited,141.6707,-65.278,180.0,top
C1,10uF,C_0805_2012Metric,157.038,-49.784,180.0,top
C2,0.1uF,C_0805_2012Metric,161.102,-49.784,0.0,top
C3,10uF,C_0805_2012Metric,206.756,-53.594,180.0,top
C4,0.1uF,C_0805_2012Metric,206.756,-50.038,180.0,top
C5,10uF,C_0805_2012Metric,99.568,-53.34,0.0,top
C6,10uF,C_0805_2012Metric,99.634,-66.294,0.0,top
C7,0.1uF,C_0805_2012Metric,99.568,-58.166,0.0,top
C8,0.1uF,C_0805_2012Metric,99.634,-71.374,0.0,top
C9,1 uF,C_1206_3216Metric,152.087,-81.788,180.0,top
C10,10 uF,C_1206_3216Metric,152.136,-87.376,180.0,top
C11,10uF,C_0805_2012Metric,188.976,-90.104,90.0,top
C12,0.1uF,C_0805_2012Metric,193.294,-90.104,90.0,top
C13,10uF,C_0805_2012Metric,127.884,-79.0469,0.0,top
C14,0.1uF,C_0805_2012Metric,127.95,-82.6029,0.0,top
C15,10uF,C_0805_2012Metric,101.524,-79.5426,0.0,top
C16,0.1uF,C_0805_2012Metric,101.534,-83.0986,0.0,top
C17,0.1uF,C_0805_2012Metric,154.7391,-100.1645,90.0,top
C18,10uF,C_0805_2012Metric,160.1815,-100.1645,90.0,top
C19,10uF,C_0805_2012Metric,217.424,-103.19,-90.0,top
C20,10uF,C_0805_2012Metric,165.624,-100.1645,90.0,top
C21,0.1uF,C_0805_2012Metric,213.868,-103.19,-90.0,top
C22,10uF,C_0805_2012Metric,171.0664,-100.1645,90.0,top
C23,10uF,C_0805_2012Metric,155.194,-110.932,-90.0,top
C24,22uF,C_0805_2012Metric,160.6373,-110.932,-90.0,top
C25,22uF,C_0805_2012Metric,166.0807,-110.932,-90.0,top
C26,0.1uF,C_0805_2012Metric,151.54,-105.8845,180.0,top
C27,22uF,C_0805_2012Metric,171.524,-110.932,-90.0,top
D1,RED,D_0603_1608Metric,87.884,-141.224,180.0,top
D2,RED,D_0603_1608Metric,215.8745,-145.034,0.0,top
FB1,FerriteBead,0603,150.117,-84.074,0.0,top
FB2,FerriteBead,0603,154.119,-84.074,0.0,top
J1,Screw_Terminal_01x08,Term_Block_1x8_P5mm,82.296,-72.872,-90.0,top
J2,~,Term_Block_1x8_P5mm,82.296,-116.052,-90.0,top
J3,Screw_Terminal_01x04,Term_Block_1x4_P5mm,221.996,-87.162,90.0,top
J4,Conn_02x15_Top_Bottom,PinHeader_2x15_P2.54mm_Vertical_Jericho,200.152,-79.756,180.0,top
J5,~,Term_Block_1x4_P5mm,225.044,-135.382,90.0,top
J6,Conn_02x15_Top_Bottom,PinHeader_2x15_P2.54mm_Vertical_Jericho,182.377,-79.751,180.0,top
J7,8P8C_LED_Shielded,RJ45_Amphenol_RJHSE538X,225.806,-65.024,-90.0,top
J8,Screw_Terminal_01x12,"TerminalBlock_Phoenix_PT-1,5-12-5.0-H_1x12_P5.00mm_Horizontal",121.452,-137.66,0.0,top
