Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0805_2012Metric,140.716,-107.95,90.0,top
C2,10uF,C_0805_2012Metric,148.656,-101.6,0.0,top
C3,0.1uF,C_0805_2012Metric,152.908,-101.6,0.0,top
D1,RED,D_0603_1608Metric,148.6875,-87.298,0.0,top
J1,5,RJ45_Amphenol_54602-x08_Horizontal,134.2027,-96.0825,-90.0,top
J2,HeaderP2.54mm,PinHeader_1x05_P2.54mm_Vertical,139.46,-84.1939,90.0,top
Q1,BSS138,SOT-23-3,146.812,-97.536,0.0,top
Q2,BSS138,SOT-23-3,153.228,-107.442,0.0,top
R1,10K,R_0805_2012Metric,148.6875,-90.6,0.0,top
R2,10K,R_0805_2012Metric,157.3627,-83.2456,0.0,top
R3,10K,R_0805_2012Metric,148.59,-83.312,0.0,top
R4,10K,R_0805_2012Metric,152.954,-83.312,0.0,top
R5,10K,R_0805_2012Metric,158.562,-107.442,90.0,top
U1,AP2112K-3.3TRG1,SOT95P285X140-5N,146.37,-107.442,0.0,top
U2,SHT41I-AD1B-R2,SHT4X,153.704,-94.4219,0.0,top
