Comment,Designator,Footprint,LCSC
10uF,"C2,C3,C4,C5",C_0805_2012Metric,C15850
1.5uH,L1,IND_XFL4020-152MEC,C167802
10K,"R3,R4,R5,R6,R7",R_0805_2012Metric,C17414
10k,"R1,R2",R_1206_3216Metric,C17902
ISO1540,U3,SOIC-8_3.9x4.9mm_P1.27mm,C179739
1 uF,"C10,C11",C_1206_3216Metric,C1848
TPS630701RNMR,U1,VREG_TPS63070RNMR,C2876599
HeaderP2.54mm,"J3,J4",PinHeader_1x03_P2.54mm_Vertical,C2897366
8P8C_LED_Shielded,J1,RJ45_Amphenol_RJHSE538X,C386757
22uF,"C7,C8,C9",C_0805_2012Metric,C45783
HeaderP2.54mm,J2,PinHeader_1x07_P2.54mm_Vertical,C492406
0.1uF,"C1,C6",C_0805_2012Metric,C49678
Screw_Terminal_01x02,J5,Term_Block_1x2_P5mm,C557646
B0505S-1WR3,U2,Converter_DCDC_TRACO_TEA1-xxxx_THT,C7465178
