Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0805_2012Metric,138.9911,-91.1895,90.0,top
C2,10uF,C_0805_2012Metric,144.4335,-91.1895,90.0,top
C3,10uF,C_0805_2012Metric,149.876,-91.1895,90.0,top
C4,10uF,C_0805_2012Metric,155.3184,-91.1895,90.0,top
C5,10uF,C_0805_2012Metric,139.446,-101.957,-90.0,top
C6,0.1uF,C_0805_2012Metric,135.792,-96.9095,180.0,top
C7,22uF,C_0805_2012Metric,144.8893,-101.957,-90.0,top
C8,22uF,C_0805_2012Metric,150.3327,-101.957,-90.0,top
C9,22uF,C_0805_2012Metric,155.776,-101.957,-90.0,top
C10,1 uF,C_1206_3216Metric,136.5093,-80.388,-90.0,top
C11,1 uF,C_1206_3216Metric,132.5773,-80.388,-90.0,top
J1,8P8C_LED_Shielded,RJ45_Amphenol_RJHSE538X,114.935,-85.086,90.0,top
J2,HeaderP2.54mm,PinHeader_1x07_P2.54mm_Vertical,171.201,-102.108,90.0,top
J3,HeaderP2.54mm,PinHeader_1x03_P2.54mm_Vertical,160.862,-79.263,180.0,top
J4,HeaderP2.54mm,PinHeader_1x03_P2.54mm_Vertical,178.642,-79.263,180.0,top
J5,Screw_Terminal_01x02,Term_Block_1x2_P5mm,195.072,-79.208,90.0,top
L1,1.5uH,IND_XFL4020-152MEC,150.114,-96.943,-90.0,top
R1,10k,R_1206_3216Metric,133.7284,-91.9515,180.0,top
R2,10k,R_1206_3216Metric,133.604,-101.5375,0.0,top
R3,10K,R_0805_2012Metric,144.8513,-72.644,-90.0,top
R4,10K,R_0805_2012Metric,140.716,-72.644,-90.0,top
R5,10K,R_0805_2012Metric,136.5807,-72.644,-90.0,top
R6,10K,R_0805_2012Metric,132.4453,-72.644,-90.0,top
R7,10K,R_0805_2012Metric,111.76,-72.898,0.0,top
U1,TPS630701RNMR,VREG_TPS63070RNMR,144.2345,-96.7995,0.0,top
U2,B0505S-1WR3,Converter_DCDC_TRACO_TEA1-xxxx_THT,169.672,-92.71,-90.0,top
U3,ISO1540,SOIC-8_3.9x4.9mm_P1.27mm,143.3673,-80.518,-90.0,top
