Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.01 uF,C_1206_3216Metric,174.3699,-102.6515,0.0,top
C2,0.01 uF,C_1206_3216Metric,174.3699,-107.6842,0.0,top
C3,47 uF,C_1206_3216Metric,174.3699,-112.717,0.0,top
C4,0.1 uF,C_1206_3216Metric,174.3699,-117.7497,0.0,top
C5,50pF,C_1206_3216Metric,174.3699,-122.7825,0.0,top
D1,RED,D_0603_1608Metric,184.2189,-123.1635,0.0,top
J2,8P8C_LED,RJ45_Amphenol_RJHSE538X,154.3812,-77.091,0.0,top
J3,Screw_Terminal_01x02,Term_Block_1x2_P5mm,179.9228,-84.2264,0.0,top
J4,59453-051110EDHLF,AMPHENOL_59453-051110EDHLF,154.4066,-102.6922,0.0,top
R1,180K,R_0805_2012Metric,184.1989,-102.8181,0.0,top
R2,10K,R_0805_2012Metric,184.1989,-113.0808,0.0,top
R3,10K,R_0805_2012Metric,184.1989,-118.2121,0.0,top
R4,1.5k,R_0805_2012Metric,184.1989,-107.9494,0.0,top
U1,CH315G,CH315g-LCSC,130.5814,-98.8142,0.0,top
